1	2	0.395713
2	3	0.394831
3	4	0.385892
1	5	0.387502
4	5	0.37064
6	7	0.408914
3	8	0.364705
7	8	0.426487
8	9	0.387346
6	10	0.400559
9	10	0.412125
11	12	0.377981
8	13	0.443868
12	13	0.439389
13	14	0.352795
11	15	0.411639
14	15	0.395768
16	17	0.443734
13	18	0.413918
17	18	0.372074
18	19	0.408648
16	20	0.408295
19	20	0.384403
21	22	0.431303
3	23	0.375957
18	23	0.364595
22	23	0.403885
23	24	0.391887
21	25	0.419032
24	25	0.394417
26	27	0.390827
3	28	0.375561
27	28	0.378324
28	29	0.388085
26	30	0.401333
29	30	0.386782
31	32	0.378009
28	33	0.410888
32	33	0.383228
33	34	0.401108
31	35	0.417606
34	35	0.39368
36	37	0.384272
33	38	0.391392
37	38	0.430651
38	39	0.380885
36	40	0.436103
39	40	0.404337
41	42	0.415432
38	43	0.36194
42	43	0.410508
43	44	0.407382
41	45	0.399301
44	45	0.417678
46	47	0.391132
28	48	0.389867
43	48	0.367404
47	48	0.408736
48	49	0.406216
46	50	0.38863
49	50	0.403132
