0.00000000,0.97899574,0.48708618,0.56235671,0.85141033,0.36425141,0.48304179,0.73228860,0.62044466,0.38777989
0.02346608,0.00000000,0.39737099,0.43372843,0.48319978,0.52129507,0.46470028,0.51410216,0.44099385,0.46688989
0.43516293,0.50925410,0.00000000,0.43999183,0.49048913,0.44776765,0.47981265,0.78709823,0.42180037,0.54941756
0.36493134,0.47482511,0.51632220,0.00000000,0.60022366,0.54114366,0.45764914,0.60824472,0.48338470,0.50929689
0.13013166,0.47436795,0.43810123,0.34033987,0.00000000,0.61755085,0.46743286,0.52662271,0.39063254,0.45737135
0.57263756,0.40078047,0.49487814,0.40024582,0.33819869,0.00000000,0.85020286,0.78730816,0.50487059,0.94474381
0.44031632,0.45690349,0.47217551,0.48777273,0.46164569,0.13342841,0.00000000,0.71938062,0.42470378,0.61678934
0.21621145,0.39324176,0.18853240,0.33800429,0.41482764,0.18398376,0.22907266,0.00000000,0.05763215,0.38633645
0.29558319,0.45011219,0.55442756,0.48701900,0.53981841,0.43117452,0.52537888,0.93150318,0.00000000,0.86109626
0.53122830,0.44487861,0.39023271,0.44450521,0.46401173,0.05222530,0.34944469,0.54803503,0.11576711,0.00000000
